iid,gender,pid,match,samerace,field_cd,imprace,imprelig,from,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,date,attr,sinc,intel,fun,amb,like,prob,p_iid,p_pid,field_cd_p,imprace_p,imprelig_p,from_p,go_out_p,career_c_p,sports_p,tvsports_p,exercise_p,dining_p,museums_p,art_p,hiking_p,gaming_p,clubbing_p,reading_p,tv_p,theater_p,movies_p,concerts_p,music_p,shopping_p,yoga_p,date_p,attr_p,sinc_p,intel_p,fun_p,amb_p,like_p,prob_p,sports_difference,tvsports_difference,exercise_difference,dining_difference,museums_difference,art_difference,hiking_difference,gaming_difference,clubbing_difference,reading_difference,tv_difference,theater_difference,movies_difference,concerts_difference,music_difference,shopping_difference,yoga_difference,go_out_difference,imprelig_difference,imprace_difference,date_difference,attr_difference,sinc_difference,intel_difference,fun_difference,amb_difference,like_difference,prob_difference,age_o_difference,same_from,same_career,same_field,pref_diff_score
5.0,0.0,11.0,0.0,1.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,5.0,8.0,8.0,2.0,2.0,7.0,5.0,11.0,5.0,8.0,7.0,3.0,2,4.0,2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,5.0,1.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,6.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,5.0,1.0,0.0,6.0,False,False,False,0.5941176470588235
5.0,0.0,12.0,0.0,1.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,8.0,6.0,6.0,5.0,5.0,6.0,4.0,12.0,5.0,1.0,1.0,1.0,41,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,1.0,6.0,7.0,10.0,7.0,6.0,7.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,0.0,0.0,7.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,False,True,True,0.6588235294117647
5.0,0.0,13.0,0.0,0.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,4.0,6.0,8.0,8.0,6.0,6.0,5.0,13.0,5.0,1.0,3.0,5.0,123,1.0,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,6.0,2.0,0.0,2.0,0.0,4.0,5.0,3.0,6.0,4.0,2.0,2.0,4.0,4.0,5.0,1.0,False,True,True,0.5647058823529412
5.0,0.0,14.0,1.0,1.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,8.0,5.0,5.0,7.0,7.0,8.0,2.0,14.0,5.0,1.0,1.0,1.0,31,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,4.0,6.0,8.0,6.0,8.0,10.0,7.0,7.0,3.0,2.0,1.0,1.0,3.0,5.0,4.0,2.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,7.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,False,True,True,0.6352941176470588
5.0,0.0,15.0,0.0,0.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,6.0,7.0,7.0,5.0,4.0,7.0,4.0,15.0,5.0,1.0,3.0,1.0,77,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,4.0,5.0,9.0,9.0,7.0,9.0,5.0,7.0,2.0,3.0,2.0,0.0,2.0,5.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,0.0,6.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,False,True,True,0.6352941176470588
5.0,0.0,16.0,0.0,1.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,5.0,6.0,7.0,5.0,7.0,7.0,3.0,16.0,5.0,8.0,9.0,2.0,80,1.0,7.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,5.0,5.0,8.0,7.0,7.0,7.0,6.0,7.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,4.0,False,False,False,0.7352941176470589
5.0,0.0,17.0,0.0,1.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,5.0,5.0,6.0,3.0,17.0,5.0,13.0,1.0,1.0,47,2.0,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,4.0,2.0,2.0,6.0,1.0,3.0,4.0,0.0,6.0,1.0,1.0,0.0,7.0,1.0,4.0,3.0,4.0,1.0,0.0,3.0,0.0,9.0,False,False,False,0.5705882352941176
5.0,0.0,18.0,0.0,1.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,5.0,5.0,7.0,6.0,7.0,6.0,4.0,18.0,5.0,8.0,8.0,8.0,93,1.0,7.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,6.0,0.0,1.0,3.0,3.0,0.0,1.0,6.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,6.0,False,False,False,0.6470588235294117
5.0,0.0,19.0,1.0,1.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,7.0,5.0,7.0,8.0,7.0,9.0,4.0,19.0,5.0,8.0,1.0,1.0,157,1.0,7.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,1.0,5.0,9.0,9.0,9.0,9.0,7.0,7.0,3.0,6.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,7.0,5.0,1.0,4.0,0.0,1.0,7.0,0.0,0.0,7.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,7.0,False,False,False,0.5235294117647059
5.0,0.0,20.0,0.0,1.0,1.0,8.0,1.0,13,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,4.0,9.0,6.0,7.0,9.0,6.0,10.0,3.0,20.0,5.0,8.0,1.0,1.0,141,1.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,1.0,3.0,10.0,7.0,7.0,10.0,4.0,10.0,3.0,6.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,3.0,7.0,0.0,0.0,7.0,3.0,6.0,4.0,0.0,2.0,4.0,6.0,7.0,3.0,False,False,False,0.44705882352941173
6.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,6.0,9.0,7.0,6.0,7.0,6.0,6.0,11.0,6.0,8.0,7.0,3.0,2,4.0,2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,5.0,7.0,9.0,8.0,9.0,8.0,7.0,4.0,2.0,1.0,7.0,1.0,1.0,2.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,3.0,2.0,6.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,4.0,False,False,False,0.6411764705882352
6.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,6.0,9.0,9.0,6.0,8.0,7.0,6.0,12.0,6.0,1.0,1.0,1.0,41,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,1.0,6.0,8.0,10.0,6.0,7.0,7.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,False,True,True,0.7411764705882353
6.0,0.0,13.0,0.0,1.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,4.0,7.0,9.0,4.0,3.0,6.0,2.0,13.0,6.0,1.0,3.0,5.0,123,1.0,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,0.0,7.0,2.0,3.0,1.0,5.0,5.0,1.0,3.0,6.0,5.0,2.0,3.0,5.0,7.0,0.0,0.0,4.0,2.0,4.0,6.0,3.0,1.0,6.0,7.0,4.0,8.0,1.0,False,True,True,0.388235294117647
6.0,0.0,14.0,1.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,8.0,6.0,7.0,8.0,2.0,9.0,4.0,14.0,6.0,1.0,1.0,1.0,31,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,4.0,6.0,8.0,8.0,7.0,9.0,7.0,7.0,0.0,2.0,1.0,1.0,5.0,4.0,1.0,6.0,2.0,3.0,5.0,2.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,7.0,2.0,3.0,0.0,False,True,True,0.6235294117647059
6.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,5.0,4.0,8.0,8.0,4.0,4.0,3.0,15.0,6.0,1.0,3.0,1.0,77,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,4.0,9.0,7.0,9.0,7.0,9.0,9.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,3.0,5.0,3.0,1.0,4.0,4.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,False,True,True,0.6411764705882352
6.0,0.0,16.0,0.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,3.0,7.0,6.0,1.0,1.0,2.0,2.0,16.0,6.0,8.0,9.0,2.0,80,1.0,7.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,5.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,3.0,6.0,3.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,0.0,0.0,1.0,8.0,2.0,3.0,1.0,2.0,7.0,7.0,4.0,4.0,2.0,False,False,False,0.5411764705882354
6.0,0.0,17.0,0.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,8.0,8.0,8.0,8.0,3.0,8.0,7.0,17.0,6.0,13.0,1.0,1.0,47,2.0,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,3.0,5.0,6.0,8.0,4.0,5.0,3.0,3.0,2.0,6.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,5.0,0.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,2.0,5.0,4.0,7.0,False,False,False,0.6470588235294117
6.0,0.0,18.0,0.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,4.0,8.0,9.0,2.0,8.0,5.0,5.0,18.0,6.0,8.0,8.0,8.0,93,1.0,7.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,6.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,7.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,7.0,7.0,3.0,2.0,1.0,1.0,5.0,0.0,2.0,1.0,4.0,False,False,False,0.4882352941176471
6.0,0.0,19.0,1.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,7.0,6.0,8.0,8.0,6.0,9.0,6.0,19.0,6.0,8.0,1.0,1.0,157,1.0,7.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,1.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,6.0,9.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,5.0,False,False,False,0.6294117647058823
6.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,54,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,20.0,6.0,8.0,1.0,1.0,141,1.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,1.0,7.0,10.0,10.0,6.0,10.0,6.0,7.0,0.0,2.0,1.0,3.0,1.0,2.0,5.0,8.0,4.0,1.0,1.0,3.0,2.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,False,False,False,0.6411764705882352
7.0,0.0,11.0,0.0,0.0,1.0,2.0,4.0,92,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,4.0,8.0,8.0,5.0,7.0,7.0,4.0,11.0,7.0,8.0,7.0,3.0,2,4.0,2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,5.0,7.0,8.0,8.0,8.0,7.0,7.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,2.0,4.0,1.0,6.0,6.0,2.0,3.0,2.0,5.0,9.0,3.0,1.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,False,False,False,0.5058823529411764
7.0,0.0,12.0,0.0,0.0,1.0,2.0,4.0,92,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,6.0,8.0,4.0,9.0,7.0,3.0,12.0,7.0,1.0,1.0,1.0,41,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,1.0,7.0,9.0,10.0,6.0,6.0,8.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,6.0,3.0,3.0,1.0,5.0,5.0,0.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,False,True,True,0.5647058823529412
